	baseMean	log2FoldChange	lfcSE	pvalue	padj
FABP6	538.9759766295323	7.593253735686863	0.5994284004557198	2.2293822791551108e-38	3.701666336309146e-34
ETV4	2955.9250924151643	6.270790771348213	0.5211896745707284	1.3036930940564385e-34	1.0823260066856552e-30
IER5L	467.20006137458824	3.1548986347424544	0.2824954785184725	4.098579230507295e-30	2.2684269847781044e-26
KRT80	1009.9850496529748	8.018150087384239	0.7248636251598201	1.1532066826714532e-29	4.7869609397692024e-26
FUT1	262.9077871838396	3.344227995982183	0.32126546140950296	1.3341358795309175e-26	4.430398428746271e-23
C17orf96	228.65440254496986	3.5248311455315218	0.3429019183076004	6.986417277713474e-26	1.933374541319242e-22
CLDN1	2113.9828527428313	5.379468711003671	0.5310600150550197	2.3162284284045474e-25	5.494093832175586e-22
ATG9B	249.17666694784992	4.651233658866748	0.46571198219047805	1.0082516101779424e-24	2.0926262169243196e-21
KIAA1257	127.9770539444109	4.456400701569816	0.4585747223625765	1.466915539516638e-23	2.6872238861648692e-20
SLC51B	1123.9231857697098	-3.886817952108921	0.3999523487006403	1.6184195893548958e-23	2.6872238861648692e-20
MT1H	821.1561433807498	-5.7805122704472085	0.5957750104824328	2.0903096891440058e-23	3.155227461686098e-20
CDH3	2380.6626085084667	5.822791709204947	0.6028416094833482	2.5724891631464032e-23	3.559467505406907e-20
ESM1	118.98605731266026	6.394632474542597	0.6647472204358037	4.605116188819693e-23	5.881796092243246e-20
COL10A1	518.276349276231	8.06224655058352	0.8449003744012695	5.2646685280224884e-23	6.243896874234671e-20
MMP11	3532.2265256475457	5.415543681154206	0.565890427576818	6.006273272600386e-23	6.648544094550455e-20
PDX1	228.99316973580912	3.8219979271646687	0.40178592048499057	1.3047287575979553e-22	1.353982268197278e-19
KRT23	1793.8098425450669	8.090665904955262	0.8562041084892749	1.7024417004645822e-22	1.6627848232067013e-19
DPEP1	11816.943977677698	8.834317580083262	0.9386300987535967	2.2560513814538755e-22	2.0810820632033417e-19
TESC	924.192428234444	4.443693190134899	0.4723058652323832	4.07841117798563e-22	3.564102063119653e-19
GRIN2D	1548.2977753681214	5.896027305457415	0.6479664641195984	4.833649026440045e-21	4.012895421750526e-18
COL11A1	490.7849170697414	5.443192072934099	0.6002189908611602	6.119023260610352e-21	4.838107724722585e-18
MT1G	6176.082868647964	-4.515308447815218	0.5007488188268547	1.101635688029326e-20	7.952851723495186e-18
MT1X	1594.129829878611	-3.451400254811441	0.3814844831900582	1.0658761296371922e-20	7.952851723495186e-18
