	TCGA-3C-AAAU-01A	TCGA-3C-AALI-01A	TCGA-3C-AALJ-01A	TCGA-3C-AALK-01A	TCGA-4H-AAAK-01A	TCGA-5L-AAT0-01A	TCGA-5L-AAT1-01A	TCGA-5T-A9QA-01A	TCGA-A1-A0SB-01A	TCGA-A1-A0SD-01A	TCGA-A1-A0SE-01A	TCGA-A1-A0SF-01A	TCGA-A1-A0SG-01A	TCGA-A1-A0SH-01A	TCGA-A1-A0SI-01A	TCGA-A1-A0SJ-01A	TCGA-A1-A0SK-01A	TCGA-A1-A0SM-01A	TCGA-A1-A0SN-01A	TCGA-A1-A0SO-01A	TCGA-A1-A0SP-01A	TCGA-A1-A0SQ-01A	TCGA-A2-A04N-01A	TCGA-A2-A04P-01A	TCGA-A2-A04Q-01A	TCGA-A2-A04R-01A	TCGA-A2-A04T-01A	TCGA-A2-A04U-01A	TCGA-A2-A04V-01A	TCGA-A2-A04W-01A	TCGA-A2-A04X-01A	TCGA-A2-A04Y-01A	TCGA-A2-A0CK-01A	TCGA-A2-A0CL-01A	TCGA-A2-A0CM-01A	TCGA-A2-A0CO-01A	TCGA-A2-A0CP-01A	TCGA-A2-A0CQ-01A	TCGA-A2-A0CR-01A	TCGA-A2-A0CS-01A	TCGA-A2-A0CT-01A	TCGA-A2-A0CU-01A	TCGA-A2-A0CV-01A	TCGA-A2-A0CW-01A	TCGA-A2-A0CX-01A	TCGA-A2-A0CY-01A	TCGA-A2-A0CZ-01A	TCGA-A2-A0D0-01A	TCGA-A2-A0D1-01A	TCGA-A2-A0D2-01A	TCGA-A2-A0D3-01A	TCGA-A2-A0D4-01A	TCGA-A2-A0EM-01A	TCGA-A2-A0EN-01A	TCGA-A2-A0EO-01A	TCGA-A2-A0EP-01A	TCGA-A2-A0EQ-01A	TCGA-A2-A0ER-01A	TCGA-A2-A0ES-01A	TCGA-A2-A0ET-01A	TCGA-A2-A0EU-01A	TCGA-A2-A0EV-01A	TCGA-A2-A0EW-01A	TCGA-A2-A0EX-01A	TCGA-A2-A0EY-01A	TCGA-A2-A0ST-01A	TCGA-A2-A0SU-01A	TCGA-A2-A0SV-01A	TCGA-A2-A0SW-01A	TCGA-A2-A0SX-01A	TCGA-A2-A0SY-01A	TCGA-A2-A0T0-01A	TCGA-A2-A0T1-01A	TCGA-A2-A0T2-01A	TCGA-A2-A0T3-01A	TCGA-A2-A0T4-01A	TCGA-A2-A0T5-01A	TCGA-A2-A0T6-01A	TCGA-A2-A0T7-01A	TCGA-A2-A0YC-01A	TCGA-A2-A0YD-01A	TCGA-A2-A0YE-01A	TCGA-A2-A0YF-01A	TCGA-A2-A0YG-01A	TCGA-A2-A0YH-01A	TCGA-A2-A0YI-01A	TCGA-A2-A0YJ-01A	TCGA-A2-A0YK-01A	TCGA-A2-A0YL-01A	TCGA-A2-A0YM-01A	TCGA-A2-A0YT-01A	TCGA-A2-A1FV-01A	TCGA-A2-A1FW-01A	TCGA-A2-A1FX-01A	TCGA-A2-A1FZ-01A	TCGA-A2-A1G0-01A	TCGA-A2-A1G1-01A	TCGA-A2-A1G4-01A	TCGA-A2-A1G6-01A	TCGA-A2-A259-01A
MT-CO3	12.2086818243447	11.940729438358199	13.2066482270058	12.7309251926459	12.1490724270653	12.731782418407303	12.450704046723098	12.2952024340454	11.7969764987061	12.4454818024588	12.175413431908	13.0969952517421	12.2442835849911	12.3517504138661	11.555705198914199	12.7709724011615	10.344224352785199	11.7597264111739	11.6797823330812	12.503361176326099	11.9423465373823	12.321142422204302	12.583041991317401	15.0081679601983	12.6469997857527	12.9880768169241	12.900489311988	12.385559782325199	13.6318260609135	13.74165329718	12.347857420874698	14.123443292016	13.174793914534	11.4988541452346	12.0819208770206	12.9095879982495	13.6051060828774	13.235856928139901	12.3205299561311	12.9096142679969	13.052464540766401	13.2420849905803	12.893053926126099	12.2757654914171	13.4170854675277	14.4512946056284	13.2062477153438	12.5507245296837	13.579216024558198	12.0264615601375	11.6086883266743	12.8312511949265	12.9279452851334	13.414061844324902	13.589712483609299	13.174428738863803	12.6932451367768	12.352057615741598	12.341140290408099	12.4332219796979	12.086282726969099	12.4988763230114	12.1787705217785	12.313312265763303	12.1745955342328	12.2733510311675	12.025196627491601	12.325061465158699	13.2289965648743	10.821328587936803	12.247220389272199	12.728059238326	13.2786510904316	13.795415471345901	12.2399986282717	12.487966210852699	12.416753763470199	11.7630688750458	11.864702197118099	12.400378525789302	11.3536292600645	11.6501538123942	12.858064574175	12.2530947823404	12.6155093250562	12.2728452273982	11.926454077594599	12.7715888641837	11.743640039472	11.0841017282834	12.65177294687	13.309170901947901	12.0633680227124	10.807095639623	11.676858713595099	11.477642874082301	12.042866791768999	12.656959400959101	11.617340920467598	12.1160370628078
MT-CO2	12.635929264686501	12.496212738855501	12.923663400841	12.780143892030999	11.5922457768641	12.105825504646402	11.925841587428698	12.9075610702685	11.3016592075234	12.1921564410114	11.7145519344061	12.354641104015698	11.978950633137698	11.9684454793945	10.977966778106401	12.5519566004242	10.1003726145445	11.796021979953599	11.9716404989293	13.0470343732065	12.292446140834999	12.2518153703923	12.1749690353369	14.947651272920199	12.938416632114699	12.876433897694499	13.396108938141198	12.6441932281599	13.552766487398902	13.7554183633356	12.6558682118789	14.3449702735739	12.9244596753685	11.584417075127401	12.2813735439066	12.554302411512198	12.9573911174074	12.897283525190899	12.0862147802597	12.176918176097601	13.132178334891	12.9382055594258	12.286006202985302	11.8827653127149	13.411651366847698	14.8302330856811	13.1779334743978	12.9448857332941	13.405622670905002	12.415220275908101	11.6486856466276	13.3418670834323	12.32193552188	12.788867740037999	12.775608771190601	12.533092935297802	12.7210663389053	12.145439862341401	11.9844591917999	12.2050471672668	11.777163680636699	12.1769810334901	11.5908158637379	11.7205353327882	12.4175449821321	12.637327807234199	12.1092123672838	12.8179275557871	13.612467203725	11.191399938809099	11.9986467338995	12.9921016347539	13.2567364458151	14.208793988161199	12.472216371727901	12.123574926189699	12.551616414090299	11.1994571865623	11.415973744883402	12.6389369035396	10.864482812799098	12.225925980307501	12.1905011161086	12.3148863384034	12.699478152139001	11.704999711427801	12.2429995220576	12.146492530490999	11.091444562662199	11.5899989681853	12.7073831439887	13.6196894831846	12.9171346774894	11.349408179033698	11.1263414261463	11.420112085463	12.0460822891996	12.216180933008301	11.234004456153901	11.8941461683561
MT-CO1	12.6857009465011	12.3969636078001	12.763895956054801	12.600145046680401	11.9099360315061	12.3194825232722	12.0424436205282	11.6266906303863	11.5331844457553	12.8484855342516	12.3333973058939	12.783064566363402	12.4606202971978	11.844264618084303	11.6671715228989	12.8854478282015	9.953697779616029	11.6578621714541	12.0662301974362	12.4557540848388	11.9054771438258	12.5655844598536	12.4881682197163	15.270265930682399	12.7817498427356	12.2465297730153	12.8785152048154	11.8924264476965	14.086290731966699	13.5913280300295	13.0134398083124	14.2957679123051	13.0189907399405	11.550946173227999	11.773220307929199	12.708929085317	12.8922621615236	13.547311345847001	11.5666623650041	11.533341760654302	12.9707216015734	13.295545866543	12.2815393911175	11.7050493674237	13.6650604810713	14.068976389936099	13.465640411440198	11.6203344997929	13.4434600079336	11.3499209080455	12.048915169709401	12.991877520601001	12.779055848729598	13.3379664571038	13.169930267867802	12.647231782718599	12.175653484040302	12.7750506804611	12.3393139107197	12.2291716919806	12.1691493138761	12.156631770432998	11.8776909372491	12.205172069391699	12.373754015699198	12.131114046215501	12.3243425837581	12.757846737314999	13.3955924273841	11.230276463231199	12.0918507038401	12.8381404624055	12.969649846644199	13.894845857987402	12.1866910474377	12.3975713363307	12.6940147118806	11.891002488860199	11.744659794319999	12.6290682245269	11.493070075559599	11.880838305878001	12.6513235967607	12.3884541024323	12.737857256456099	12.227737051854902	12.198012601526502	12.727513773752301	12.0215426187375	10.937998419089698	12.730155089221599	13.5616226133658	12.534351099511301	9.84221003199517	11.990492070668301	11.854787482546598	12.129188821781302	12.6697171571018	11.5811757483481	11.858962372736599
MT-ND4	12.2291810307315	12.203673974507801	12.2624442855595	12.5518709283185	11.1916393172585	11.919652572644901	11.3810763917751	12.1414404585419	11.4457949598381	11.8377514306497	11.7273914253336	12.011616449965802	12.351237717316	12.4522912054566	11.0007271019339	12.3894717679102	10.812293289146302	11.619639278708998	11.675306955793099	13.074176611019098	11.8021113459022	12.1207215986731	12.7165961124453	14.697996676675599	12.6138832613651	12.921138917734199	13.4259153778721	12.9928727859775	13.7195557089589	13.9317146303868	12.4586321029894	14.507656404325399	12.3279348741046	11.5935658679731	11.8542506813407	12.4886363106982	13.3741325756281	13.5421976114375	11.1025233572509	12.4342958201988	12.198831534231	13.384312930176499	12.155426306586401	12.460695013224699	13.593203860852098	14.291747027132098	13.403452019183499	12.7740299101632	13.8877398708675	11.9517537720032	12.0591545552285	13.6528883237161	12.3771693544788	13.196252681864099	12.664729616191199	12.4604179495978	12.744663853833101	12.0571092294466	12.128716289240401	11.840962467006399	11.4967514413467	11.989578478769998	11.6451766429008	11.677826570190401	12.355744497540199	12.268630961696598	12.1618836685928	12.135239113924902	13.390556157557098	11.033997408617699	11.9521467155735	12.8521878579092	13.103724866338402	13.801022637435999	11.8816863133184	11.9227141265616	12.6981723683831	11.5408458407938	11.2045320845605	12.4519238315056	10.9773054811726	11.806723320880199	12.554880186004	11.8709006114882	12.3182966872728	11.836007983764999	12.2152156244001	12.198605922785699	11.3022392597122	11.2662894771242	12.6644076875596	13.767059957655801	12.361202178621301	11.488253836601	11.6273885826724	11.880023184406399	12.107653040845099	12.266376118171001	11.225196419142401	11.643757210596002
MT-ATP6	11.595923158024199	10.9114757621022	11.944840647097301	12.0443678195672	11.1628615715479	11.803960895178198	11.453769629067303	11.1006016176499	11.123729004856699	11.6222763521489	11.8613950062878	11.8939441801927	11.830198340708101	12.1345227451094	10.8943207909148	11.998945188671101	9.746178000689829	11.5629998516781	11.397115302168901	12.7878749063489	11.6655921223555	11.7495908423039	12.2260309984562	14.4136943759441	12.5469480115655	12.1909326213814	12.4455463011855	12.381483757109198	13.5116862501638	13.327791764351401	12.358570635617198	14.0875271409342	12.1870384680678	10.9116379355281	11.516708499872598	12.213745340316501	12.759455845013402	12.6133520546787	11.220220485345699	12.174674044000499	12.1030978797136	13.128394064509699	11.734406401770599	11.523085617243	12.9191748900234	13.9458488535418	13.164957350953697	11.506163151228002	13.0873039932182	12.260105846451001	11.3995150875969	12.7226135035214	12.208950965123599	12.6475596902912	12.701099025276502	12.359407001658402	12.1051339413053	11.9287176964827	11.656940206096401	11.6856869663921	11.0391557348396	12.015665163729802	11.3415895923761	11.733246014459699	12.1918527454702	11.725507112711101	11.6581960164944	12.1741390879475	12.534585446410501	10.7699633954475	11.7264826313768	12.504807873808698	12.7735377402813	13.516707685709902	11.7946448361956	11.696246273085402	11.943289624258899	11.185056187018098	11.0350819709973	11.708822474948	10.6275266221471	11.145398072686698	11.5494084801156	11.813081745848	12.0400303704359	11.289497164377902	11.058134586535001	11.8367302000018	10.9753542811776	10.746163960425598	11.893173572493401	12.8649190937222	12.3151501755515	10.761851960731699	11.1742100972525	11.2772182728311	11.5332581047135	12.2577706794861	10.692619957905698	10.9167807213715
MT-RNR2	11.2762766027148	10.9139615279359	11.2648990176649	11.3399056299052	10.1173191767676	11.892982774403801	11.6459726942046	11.3101112295096	10.9130672369507	11.7114000735314	11.5928439981026	12.3323611764887	12.245565048673301	10.993550908232802	10.7617989750426	11.822461979815	11.5096711525618	10.958131298874	10.9721643372225	10.899980612916698	10.911926839848599	11.020598819346	12.6063242950117	14.4049400082025	11.4599080394474	11.765638264612999	13.1919068766312	10.7933984154685	13.392348145789402	13.8431077289684	11.8298817430366	13.6145575657179	12.2400032868836	11.5431386178635	11.6334460746801	11.6517674550596	13.333442232639001	12.8547857841477	11.390036158473999	12.2615171594161	13.9272192870488	12.6449568967411	11.521322815405	11.098061404319301	12.401997239419199	12.5556912633023	13.2845006714135	11.480779195099402	13.323841818360501	9.81333767535046	11.038425779586802	11.324162067579902	12.3996273959231	13.7399846988215	13.163635422698901	11.6823953220349	11.7591484182232	12.0001899990799	11.7162266930105	11.787634392654299	11.672102660413803	11.709469170706	11.624330805722199	11.360033531163198	11.1394224090473	11.9185315573905	11.202054174224699	12.1287122399977	13.372243392857401	10.825964064881198	11.4756748502443	11.787361151091401	13.7650442021084	14.535406287637501	12.448412738968301	11.8899115282903	12.0129568135826	11.260496417618402	10.5842516332038	12.370481028820802	10.6936325875223	11.459976759100599	12.277740643256701	11.6456363457325	11.7640646097412	11.9958526493732	12.815546564073601	12.092994913097801	11.0921391053343	9.43932864253716	13.2019430492687	12.215813055090699	11.1026630425253	11.165231993973599	11.450028529485099	10.1658504511352	11.674843773308	11.470086741826401	11.0973486678933	11.865345237190402
MT-CYB	11.1962858339678	10.762923482867699	12.0219926938015	12.189020773322598	10.709212428606	11.504322829038598	10.633958065152699	11.5079631208154	10.730900469105	11.3126541541451	11.555705072502901	11.8760887039974	11.4468860074827	11.8648685181429	10.3580710786581	11.7897820845561	9.39413407697916	10.8465742892662	11.0324012656304	12.0409960681986	10.8501965079497	11.092011898844099	12.046209413277	13.3798981638517	11.668773970971598	12.052492864447201	12.095606189158401	12.101497265724799	13.1755348138991	12.6496050689521	11.792548429456598	13.534632607511199	11.9144368545738	10.685888997367801	11.5935211162346	12.2104829853726	12.6531249984806	12.597923994631	10.536731852861099	11.7156544750666	11.5310896891987	12.5804288866907	11.872701029848402	11.6327596852127	12.7170760569767	13.896160090726301	12.6598057839103	11.0267463369749	12.497561240506	11.456487642561	11.1225770317469	12.554832436294	11.9590751883479	12.388029732221598	12.382528842353	11.9847154925278	12.088878019923401	11.267954444408	11.595142972605199	11.3333143634973	10.798399904858199	11.342914966789401	11.1000411230376	11.286100597062099	11.5840852026086	11.512097816981099	11.343474699761801	11.4353116610539	12.8935616636262	10.2652489857344	10.8696467094227	12.0242947744361	12.642150239965	13.272214980402698	11.5220933803366	11.694284372914801	12.0507925286325	10.9614135939836	10.819008816712302	11.10891486833	10.3981521521912	10.7494613105917	11.5396652924577	11.4475989461156	11.9361476135373	11.1783834069826	11.2934911993085	11.6603678352509	10.8371977083722	9.613579747241609	11.6424713721038	13.200079226287	11.769965793671998	10.1486728382308	10.975218210011198	11.045410387242999	11.055033850517098	11.423352474094699	10.674013532659199	11.477780593243999
MT-ND1	10.6062907522221	11.1387941975388	12.497950642106801	12.2420568513325	10.985790677670698	11.557019356065302	11.2948652695365	11.802191572115	11.0016407522537	11.7090306300245	11.180154845834599	12.003782818342302	11.887789019605501	11.810215948295697	10.5303678370324	11.871288555516902	10.784515061575801	10.9257308749877	11.0084003455655	11.092099376652401	11.189687544609802	11.119446967132498	12.1384335609861	13.548439383037	12.179935914765199	12.5098312128388	12.5546841908203	12.690933752953699	13.5151474444051	13.038487682009	12.303312694488099	13.864163274954699	11.6553443192646	11.240289369049401	10.7729426310779	12.115829773822801	13.078718499538901	12.6909938278107	10.7916159543715	12.003149634297099	11.600703311301801	13.148579553257802	11.2001792183559	12.4869398725896	12.9891111347646	12.9609794274507	13.003320081567301	11.7176293542525	13.5040098916068	10.586423371216199	11.1804644214968	13.183985351979699	11.8495275880021	13.1469052168099	12.2529101586306	12.0192449483726	12.2527842809635	11.465556010808001	11.587804624731	11.004368626418	10.594665341469	11.455186103385198	11.618430771733301	11.512868729414	11.392780413036402	11.1786714325661	10.7838009971505	11.577666641140098	12.15866716795	10.7388400550528	11.5337300041164	11.8491820275403	12.942238767543099	12.286801365748198	10.557655763264401	11.514499101494	11.4994271022708	11.252826781755	11.0540867525767	11.3011113445615	10.6009908555351	9.009057420266119	11.754997753495	10.8998386319309	11.6786629966469	11.3627233196745	10.6939973828524	12.0331219553793	10.8629125607006	9.69000499175317	12.3972315149249	13.0002998581319	11.000409137367	9.99677420895383	11.269449151598401	10.658100583957	10.855377622592302	11.671232765327499	10.6080370458119	10.8194702776786
MT-ND3	10.757194568150101	10.352064749703699	11.8506068108338	11.7206623104336	10.860353797606999	11.7066615271787	11.312976683045402	11.5993563326298	10.66391045264	10.6775441034583	10.4622728877019	11.7185366596609	11.587015588276598	12.107410356939699	9.72814497939315	11.601864610046	10.1918876284211	9.975752012929	10.372813727824802	12.2638038009477	10.8561263190624	10.9480748665012	11.915206576500498	13.4108169659324	11.578671976148	12.126090917502802	12.087908359734199	12.607196072788698	13.1265715585985	12.8203585723191	11.3146856953062	13.469869762179599	12.471396443092	10.589434857972	10.8035129701703	12.0222001398592	12.5564159284742	11.8999543532215	11.9785675394558	12.0096982799787	11.5000122895467	12.300691108928799	11.610158985464402	11.812582784842999	12.649030840954302	13.6551406556061	12.8906109542188	11.2840677043144	12.513705831053901	12.444570663871698	11.4714495912783	12.8908529954918	12.0526748114204	12.111665030673	12.757294960259099	12.234058412482	11.462193091308599	10.9397043648432	11.3624276627327	10.052255719222599	10.393375270831198	11.009165106627	11.0631805886517	11.751082811066	11.145987994981198	11.521293490558401	11.2852056197589	11.4314588977916	11.9380000532006	10.736706777267699	11.6125657181322	12.247912263406599	12.029746134307699	12.5678908659352	10.4745814814134	11.4462036133109	11.686911178843	10.6051757735343	10.3236216762964	11.060574569555301	10.2252332552439	8.97356781184995	10.421760984267198	10.8116500504164	11.2745862138038	10.9412260606973	11.230245948929	11.3142186021312	10.8674432651262	10.203974039741	11.7201054975767	12.869622967741599	11.248517023162501	10.0268193645119	10.9472391648731	10.430763442660199	10.591879374378399	10.878537603401501	11.132561459437198	11.0862113768293
MT-ND2	10.6833243498187	11.034033663446	12.217813805388401	12.1100253953345	10.6061972646264	10.705619888048401	10.5664580525488	11.807301161421302	10.5295814703746	11.034545753942302	10.915678636658	11.5503367113203	11.554630359266698	12.036988230090499	9.97861513832024	12.0843268675019	9.96184269782356	10.7653416957794	10.740036538685	11.988719696881402	11.145571050979399	11.2826074041325	11.6654120092682	13.972959679681198	11.817936194293301	12.736634785645098	12.2577575701101	13.0620747003636	12.920907529074599	12.5615867421848	12.270428365074999	13.747471180952498	11.8771904990091	10.9365879019151	11.286080402652301	11.7871978913153	12.239599033399902	12.1786603768104	10.7862579214245	11.8651941235617	11.521587036515601	12.6181845148104	11.1908411970277	12.04745318559	12.6766126702563	13.4488713080266	12.8127935174081	11.7483156307704	12.875510446426599	11.6044806020068	11.208690253768198	13.4605296442308	11.3436248801009	12.394810007650301	12.1684538433819	11.7578967859762	12.148900052408301	10.9559364774489	11.514640649050698	10.820164683136301	10.4867744915781	11.553464517979501	11.0367573856213	10.856274426346399	11.3164873486677	11.4788898687646	10.989928653929699	11.3662268839418	12.389151006325099	10.694876663989401	11.1327903533883	12.0893612622016	12.2290924863608	13.009305755899	11.0818695704163	11.5055869679735	11.5082698583447	10.525019190326	10.651678321662699	11.156689440374201	10.027572860006199	10.389498152354902	11.228217811475698	11.088305379308501	11.750921470232198	10.7311925077504	11.1986575667965	11.577135103618	10.3503975780067	10.3274044727174	11.829858541980801	12.7270964332958	11.2505691444473	10.1878818104223	10.75365251287	10.9155926315203	10.840233010389099	11.074606572787399	10.3450175210857	11.0477261187151
