	TCGA-A6-2682-01A	TCGA-A6-2683-01A	TCGA-A6-2685-01A	TCGA-A6-2686-01A	TCGA-A6-5662-01A	TCGA-A6-5667-11A	TCGA-AA-3489-11A	TCGA-AA-3496-11A	TCGA-AA-3511-11A	TCGA-AA-3514-11A
A1CF	1.54701914353796	0.8945648065643281	1.03951749000488	1.2349725945872099	2.04483307547885	2.94611264491533	1.63926028993436	2.4269287175742402	2.84399132092279	3.07696689665177
A2M	4.58292502756987	4.2651457699039	6.73350269115031	5.365322948203559	4.887795436559361	6.22940694890761	6.41973733224651	7.53041389505595	6.27113717872766	6.456290100304559
A4GALT	2.4641829158374198	1.0298773275397	2.9876266423399196	2.96810038849682	1.0089220923752	2.05204908748067	2.90630510599477	3.2469626556302202	2.35315839235466	1.64526181844807
AAAS	3.94455033104015	4.208169892930259	3.33940212151636	3.26212280607484	3.8677656523689197	3.35189040891828	3.03734063679458	3.22442719000758	3.31712085302684	3.45758675806514
AACS	2.51689362222662	3.60983747387246	1.85786019789065	2.0259417993903996	1.4560287320795602	2.1014380393119	1.94916143423814	1.6363664780419698	2.21417491911417	1.96761307542346
AADACP1	1.47645194591746	0.101069856696737	2.45122624382635	1.8783634930083897	2.0495690010061	0.6325074252217651	0.670516039139353	0.972627778741996	0.9759485167671691	1.19805548637594
AADAT	1.88744954240509	1.26057737294874	0.9763304952867671	0.708294236883501	1.60262723156292	0.936736820001864	1.63834641753721	1.34218529913865	1.26673767343618	1.2934589695311398
AAED1	1.6963874274161899	0.870672052011318	1.78570781387527	2.19284023428691	1.39314467374933	1.53873413934975	2.2641102391061803	2.08090054495326	1.23032493952605	1.34214316492643
AAGAB	4.05998034519837	3.2237656594390898	3.7409799131725	4.23276029107175	1.6887443513848301	4.00725749709086	4.41429789994439	3.7744945613132996	4.1581816027609	4.48459123625301
AAK1	2.07092400719161	0.6326744511206701	1.29581472969896	0.8476710845884808	1.00465761332327	1.6370598009543003	0.665544067819957	1.1562910034348	1.4670369994161299	1.62905580064583
AAMDC	3.96647257139329	3.1522303535274	3.56396509342098	3.1767353387059103	3.1506932533807497	3.09958744814784	3.37945054930871	3.42605705763161	2.7008466646567006	2.88580553531528
AAMP	5.921718112944079	6.56841849088282	5.877641549246769	5.18739022588453	5.676408869381009	5.580337008131941	5.680061700696441	5.5167122597217695	5.574510077984331	6.019548453805691
AAR2	4.14110328853293	4.25579169584853	4.26536704730085	3.9332786235873503	5.23764842888084	3.85231383855595	3.9973800547939597	4.182289312647709	3.8285388302374397	3.7636999855058098
AARS	5.014873606816559	6.609330970389499	5.217146149436809	5.14743993206839	5.23588091298128	4.13088751805687	4.5338262583181	4.987045927005701	4.683844639607151	4.91218966527646
AARS2	2.143849580066	3.75503458607633	2.2297514704175203	2.10490409826155	2.33369043678788	2.6565743485588	1.86728456295292	2.1900688448295	2.62099947954855	2.66286093013994
AARSD1	1.0111783262287	1.17722101436674	0.6530688270494169	1.75803371409695	0.9152248889965748	1.00838204204381	0.796175119554001	0.702510815820644	0.84041100214978	0.728205427447168
AASDH	1.81506308572775	0.809777924760326	1.4302865513128702	2.14359037189364	1.5097870537171598	1.6658423600312702	1.53986194461171	1.6336757388966199	1.68485550120601	1.67861143003752
AASDHPPT	2.2732823107701297	1.3817153794544899	1.88049564333049	2.53632419577925	3.0266270111832005	2.04857195665285	2.39605909659457	2.47238521134713	2.2664755441985402	2.08664331270693
AASS	0.598816486296318	0.345198947894011	0.6015312852680811	0.8761810834158921	0.5255737805959361	0.897296998904898	0.7443549788200441	0.9062949970997299	0.801297703013622	0.5999464655734821
AATBC	0.259941697245574	0.5794524913050091	0.14328759415939202	0.203134252059619	0.122987830408777	0.10334290340168	0.198565185160484	0.176349462299001	0.23504574915006302	0.15106749586594698
AATF	4.2536040556523	4.079358172181689	3.74875632233538	3.74610745529888	4.03222164556436	3.4564010240635494	2.98226186542342	3.4327917674793	3.6111136612664803	3.59242314942415
AATK	0.9881982840649229	0.370932695902766	1.04463381024771	1.53614943920773	1.87532958732647	2.48722976491518	0.938318134112444	1.6367190149760902	1.5976898003191298	0.379384098406814
AB019441.29	2.07347054729644	2.47012456800078	2.1316218128654	3.58494915603119	2.19504820674688	1.89395180431106	3.0492358105026502	2.18190480279468	2.2260789447646	1.95728375138262
ABALON	0.940644865838629	0.507909511210011	1.4055637002965802	0.619355782923271	1.31980682637016	0.251198633378478	0.36367725297267495	0.33228900396444105	0.211747885717052	0.22606577492692298
ABAT	1.75664506727169	1.7644747597007	1.6534363602310203	0.480885115060729	3.78418263042117	2.479076842898	1.04356557971059	2.16216936244693	2.2297701006067903	2.9401212154790497
ABCA1	1.08765831962913	0.782736921928855	1.84379537568004	1.76652491711785	0.8854568951869028	2.04050117357923	1.52232638877748	2.51316524320471	2.24139700366787	2.36159673946664
ABCA10	0.0443579136293769	0.0248466637318265	0.375971540529465	0.359821243217993	0.13287416144015998	0.6413752303808211	0.25312766777383106	0.36158607826325295	0.537048137137497	0.120431800756362
ABCA11P	0.210106326602493	0.0	0.0432080228398233	0.3762867136693429	0.7214745687642858	0.332801557897417	0.41983361087015203	0.5150494251562711	0.517346756096415	0.24504976363625697
ABCA13	0.06469423674955399	0.0055112409742944	0.0254373675862029	0.0751837653620845	0.0268489451404869	0.023955410040342	0.0186367636493755	0.12002349004911	0.0180901172343522	0.0837941378060611
ABCA2	3.0387499120317996	4.85131357045291	3.06279456102669	3.22419872892169	3.84015122773422	3.5115910031037902	1.43609021208757	2.28876676873494	2.91273366045281	1.54856471881976
ABCA3	0.500551755040021	2.63906285324712	1.94400502219808	2.4014260231324305	1.04320800492155	1.3823340349920201	1.2847346498406398	2.1066290550446998	1.4268016752831298	0.791450806416619
ABCA5	0.846238438032129	0.26271847061555	0.927903841020032	1.38553997641249	1.39243692354552	2.44575465557344	1.05656085274108	1.51446624994133	1.99385733067718	1.76184251483087
ABCA6	0.168176430967217	0.0148092447913161	0.31006720652805203	0.135943937293093	0.0304373168718758	0.369472433891011	0.701010934367628	1.0529639503244002	0.486559639402356	0.20234351515853
ABCA7	2.10212817434331	3.8341390744772	2.4808566370720295	2.0532547192651798	2.07671293577431	1.81835699984729	0.5772684426214261	0.8576688754219949	2.08109056639835	1.37274798250929
