	TCGA-A6-2682-01A	TCGA-A6-2683-01A	TCGA-A6-2685-01A	TCGA-A6-2686-01A	TCGA-A6-5662-01A	TCGA-A6-5667-11A	TCGA-AA-3489-11A	TCGA-AA-3496-11A	TCGA-AA-3511-11A	TCGA-AA-3514-11A
A1CF	211	113	239	688	1592	3025	819	1194	2959	3319
A2M	1676	1594	15867	13589	9684	22198	21781	33342	24265	25750
A4GALT	152	42	481	1063	158	435	771	710	603	291
AAAS	681	991	890	1882	2984	1790	1203	981	1850	1920
AACS	869	2471	996	2617	1488	2488	1857	964	2921	2177
AADACP1	41	2	212	285	335	52	48	55	97	121
AADAT	92	57	68	100	322	128	254	130	209	201
AAED1	79	35	178	583	266	276	473	283	207	220
AAGAB	687	438	1118	3611	452	2715	3141	1381	3221	3809
AAK1	864	178	810	999	1260	2340	558	824	2077	2296
AAMDC	325	210	496	827	812	691	737	538	533	577
AAMP	2140	4039	4279	5889	8349	6909	6365	3994	7304	9319
AAR2	590	769	1333	2343	6040	1958	1872	1511	2042	1813
AARS	1611	5954	3839	8199	8750	3490	4020	3924	5540	6084
AARS2	168	736	374	751	921	1071	459	435	1104	1065
AARSD1	43	64	50	467	174	176	110	66	146	113
AASDH	134	48	186	842	456	475	358	278	514	476
AASDHPPT	271	136	391	1571	2344	911	1063	799	1175	933
AASS	27	17	56	203	107	186	125	114	170	110
AATBC	11	33	12	39	23	17	29	18	43	25
AATF	974	1027	1383	3098	3840	2209	1312	1312	2637	2423
AATK	70	25	156	626	881	1347	230	373	629	87
AB019441.29	23	39	50	365	119	80	184	63	115	84
ABALON	20	11	74	54	151	17	22	14	15	15
ABAT	265	320	493	204	6602	2094	417	962	1793	3022
ABCA1	146	112	693	1443	510	1660	857	1518	2110	2183
ABCA10	3	2	59	126	43	221	65	68	189	34
ABCA11P	5	0	2	44	96	34	38	34	60	24
ABCA13	10	1	8	54	19	15	10	47	12	53
ABCA2	950	4395	1997	5085	8134	5627	792	1271	3749	1030
ABCA3	37	559	524	1769	439	589	452	733	657	265
ABCA5	120	36	280	1123	1134	2749	573	694	1957	1462
ABCA6	20	2	80	74	16	194	357	432	283	99
ABCA7	315	1520	904	1395	1428	993	166	193	1348	618
ABCA8	10	3	323	59	44	1763	1562	1985	2259	776
ABCA9	3	0	83	69	24	169	491	391	165	93
ABCB1	816	63	1191	323	1665	6939	775	2478	6042	6527
ABCB10	225	261	397	799	1700	1322	1276	818	1391	1744
ABCB4	14	2	49	46	220	114	56	54	177	65
ABCB6	60	254	45	122	189	114	93	84	96	131
ABCB7	434	361	666	1794	1093	1112	929	758	1098	1153
ABCB8	692	1376	1670	1868	1574	2154	1258	959	1556	2187
ABCB9	89	170	272	284	197	299	120	169	295	259
ABCC1	531	1101	2650	2794	3536	1814	1212	1421	2244	2112
ABCC10	331	1886	841	933	2032	1630	535	555	1332	1163
ABCC13	8	2	19	5	4	434	321	154	263	522
ABCC2	65	22	18	209	722	41	11	20	49	14
ABCC3	1764	4653	5200	3799	1680	19801	2583	4110	13331	11671
ABCC4	180	240	343	859	2570	1348	1182	1119	1823	875
ABCC5	227	582	633	1134	1285	1806	625	902	1908	566
ABCC6	88	159	185	248	668	1680	289	237	977	1173
ABCC6P1	16	5	19	67	332	180	136	39	157	79
ABCC6P2	9	12	12	23	143	72	56	40	90	58
ABCC9	43	5	217	199	154	101	530	929	79	53
ABCD1	246	928	676	780	861	1173	601	775	902	1069
ABCD3	793	450	738	2803	1722	5635	3558	3001	5616	8753
ABCD4	498	805	948	3996	923	2671	1606	1029	2029	2190
ABCE1	615	188	801	3672	5889	1680	2844	1331	2517	2320
ABCF1	1085	2033	1773	2190	4813	4663	2335	2314	4603	4915
ABCF2	1061	1640	1953	4294	4122	2709	2264	1490	2620	2495
ABCF3	658	1558	1369	3097	2531	2761	1542	1193	2534	2863
ABCG1	517	1862	1787	1739	723	2130	730	1179	3451	2929
ABCG2	15	7	74	214	92	4009	298	740	2110	3183
ABHD10	367	343	448	1990	1649	1003	1616	900	1362	1198
ABHD11	1355	2088	3221	7102	3281	3929	2837	1271	3078	3639
ABHD11-AS1	212	104	753	1033	474	701	1002	355	298	1060
ABHD12	1416	2657	1926	4731	2970	3355	1942	1908	3495	4496
ABHD13	197	86	277	711	3180	939	1241	717	1098	1143
ABHD14A	240	247	224	405	312	363	507	300	423	295
ABHD14B	1144	2722	2265	1706	7726	6317	3922	3067	6045	4197
ABHD15	146	335	467	687	842	1443	414	548	1263	1251
ABHD16A	93	105	174	313	472	489	435	186	421	401
ABHD17A	384	2722	890	1939	1537	1652	1219	850	1351	1531
ABHD17B	187	124	319	1973	1278	1799	1087	664	1274	1170
ABHD17C	1090	1383	2552	6097	8007	6703	3536	2906	5973	11614
ABHD2	2434	2366	11716	3871	14646	6078	3148	3309	7597	10934
ABHD3	236	183	521	2078	781	4838	4040	2242	5153	10020
ABHD4	407	286	691	5431	1318	1443	1095	1454	1330	1247
ABHD5	137	106	292	575	403	901	841	720	809	1642
ABHD6	188	237	412	467	585	1361	1101	829	969	1688
ABHD8	80	88	278	453	578	280	462	424	405	220
ABI1	822	977	1462	7742	6213	3442	4274	2504	4431	5460
ABI2	238	164	420	939	2951	1051	1440	1358	1218	779
ABI3	93	139	457	752	213	638	699	404	1136	1234
ABI3BP	61	21	332	281	151	2231	1616	2508	2663	815
ABL1	809	2281	2719	4364	5821	7987	4876	5331	6645	7130
ABL2	182	277	531	936	1271	900	500	508	869	680
ABLIM1	898	2948	2016	4430	10068	8643	3658	4901	11722	10066
ABLIM2	275	403	837	167	3621	614	293	232	588	745
ABLIM3	66	90	596	371	141	531	673	550	498	289
ABO	1025	2886	974	498	1358	12690	1055	1918	9942	2502
ABR	1582	4752	3255	8068	10648	15800	4060	5015	12538	13863
ABRACL	650	382	937	4435	3761	2743	2606	1482	2261	3589
ABT1	748	1028	1321	2162	2871	1667	2139	1006	1588	1536
ABTB1	322	575	1199	3526	2142	1233	874	1154	1238	516
ABTB2	109	836	1054	1146	2324	1828	361	235	1251	1596
AC000068.5	1	3	7	9	39	34	17	16	36	26
AC000089.3	8	45	16	124	66	46	64	20	266	27
AC000123.2	17	18	26	53	108	124	62	57	156	103
AC000123.3	3	0	16	26	8	19	4	5	9	13
AC000123.4	2	2	13	33	15	28	7	13	29	27
AC002116.7	12	22	10	106	23	19	20	1	15	21
AC002310.12	25	11	26	89	43	44	52	35	67	35
AC002310.14	13	28	75	30	109	298	38	34	138	130
AC002398.13	3	1	4	28	9	25	11	9	19	17
AC002467.7	43	28	45	125	239	118	77	88	83	110
AC003075.4	3	2	14	43	24	14	16	9	12	10
AC004067.5	0	2	4	24	10	10	14	7	29	19
AC004076.5	4	5	6	24	29	28	7	10	16	5
AC004166.6	0	4	12	38	19	8	18	17	23	9
AC004381.6	46	28	90	273	107	170	153	106	160	255
AC004447.2	70	257	157	293	348	465	82	82	374	190
AC004453.8	92	303	135	180	114	46	120	50	77	63
AC004540.5	10	6	16	27	24	25	20	20	29	12
AC004893.11	26	35	64	149	75	207	60	64	225	104
AC004951.5	6	9	5	28	16	22	13	20	24	13
AC004967.7	71	18	72	177	160	78	53	31	66	46
AC004980.7	22	18	45	137	116	49	40	37	87	41
AC004987.9	5	22	26	35	38	38	41	31	59	72
AC005076.5	11	5	16	57	35	16	21	14	20	13
AC005077.12	4	4	6	42	24	33	10	16	58	25
AC005077.14	41	48	41	121	50	191	31	46	245	76
AC005083.1	31	13	30	167	270	65	30	35	84	49
AC005154.6	187	195	302	611	617	939	337	305	670	345
AC005224.2	15	3	7	30	12	29	22	15	35	12
AC005229.1	2	3	12	56	39	28	36	27	25	26
AC005253.2	8	21	21	97	52	50	38	12	70	30
AC005336.4	12	5	17	49	134	39	1	0	85	84
AC005355.2	87	89	180	301	242	357	399	196	354	456
AC005519.4	1	16	8	59	10	31	14	14	20	9
AC005550.3	14	3	20	985	120	171	139	131	192	239
AC005562.1	16	7	21	188	92	64	80	60	93	76
AC005618.6	3	21	15	6	174	11	42	23	15	8
AC005682.5	9	1	12	103	7	23	94	60	104	21
AC005785.2	0	30	17	29	24	22	8	7	19	8
AC006042.6	14	22	25	63	49	37	10	11	41	18
AC006126.4	6	12	18	26	33	38	3	12	43	15
AC006128.2	6	87	43	73	63	57	32	15	50	14
AC006277.3	7	7	4	66	53	14	8	10	20	12
AC006486.10	5	5	6	31	11	22	11	5	16	30
AC006547.13	20	23	40	115	65	118	80	52	111	76
AC006978.6	78	84	133	282	184	446	195	195	333	517
AC007128.1	14	7	7	96	44	1	0	0	6	1
AC007191.4	30	41	25	194	270	65	22	18	99	27
AC007228.9	6	0	37	49	43	29	27	25	55	36
